SurfaceR,TypeR,VegetationR,UseR,FishingR,AcessR,RoadDistanceR,BuildingR,PollutionR,ShoreR,Green frogs,Brown frogs
700,2,1,3,1,75,1,1,0,1,0,1
200,2,1,3,4,75,1,1,0,1,0,1
300,2,0,3,4,25,0,0,0,1,0,0
600,0,4,0,0,99,0,5,0,1,0,1
200,2,1,1,0,50,0,0,0,1,0,0
500,2,0,1,2,25,0,0,0,0,0,0
700,2,2,0,0,100,1,1,0,1,1,1
750,2,1,0,1,50,1,0,0,1,0,1
200,5,4,0,0,75,1,0,0,1,0,1
200,0,4,0,0,100,2,1,0,1,1,0
300,6,2,0,0,100,2,1,0,1,0,1
7000,0,1,3,3,50,1,5,0,1,1,0
1700,0,1,0,1,100,2,2,2,1,1,1
8000,0,3,0,0,100,9,9,0,1,0,1
30000,0,3,0,0,100,2,10,0,1,1,1
300,5,4,0,0,100,5,10,0,1,0,1
300,7,1,0,0,75,0,5,0,1,0,1
1600,0,0,3,1,75,2,1,0,1,1,1
3800,0,2,3,1,25,0,0,0,1,1,0
7000,0,1,3,4,50,0,0,0,1,1,0
2500,0,3,0,1,100,0,1,0,1,1,0
800,0,0,3,4,100,2,1,0,1,0,1
1700,0,3,0,0,100,0,0,0,1,0,1
300,0,2,0,0,100,5,5,2,1,1,0
4500,0,1,3,2,100,9,9,0,1,1,1
1000,5,4,0,0,100,5,9,0,1,0,1
7000,0,4,0,0,100,5,5,0,1,0,0
30000,0,3,1,0,100,5,5,0,1,1,1
3300,0,3,0,0,100,5,5,0,1,0,1
2100,0,3,0,0,50,0,1,0,1,0,0
500,0,0,3,4,100,2,1,0,1,1,1
300,0,1,0,0,100,2,2,0,1,0,1
1100,0,0,3,4,100,2,2,0,1,0,1
1000,0,2,0,0,100,1,1,0,1,0,0
400,2,1,1,0,75,2,0,0,1,0,0
100,0,2,0,0,100,1,1,0,1,0,1
100,2,1,3,0,100,2,1,0,1,1,0
80000,5,4,0,0,100,5,5,0,1,1,0
100,4,4,0,0,100,5,5,0,1,0,0
2500,0,3,0,0,75,0,2,0,1,0,1
31000,0,0,3,4,100,5,5,0,1,1,1
500,5,4,0,0,100,5,5,0,1,1,1
25000,0,0,3,4,75,0,0,0,1,1,0
40000,0,1,3,2,100,5,0,0,1,1,1
1900,5,4,0,0,100,5,5,0,1,1,1
30,0,2,0,0,75,0,1,0,1,0,1
4300,0,3,0,0,100,5,5,0,1,1,1
4000,0,3,0,0,100,5,5,0,1,1,1
300,0,4,0,0,99,2,2,0,1,0,1
400,0,2,0,0,100,0,1,0,1,0,1
1000,0,1,0,0,100,5,5,0,1,1,1
1500,1,2,1,2,100,5,0,0,1,0,1
300,6,3,0,0,100,5,5,0,1,1,1
28300,0,1,3,2,100,0,0,0,1,1,1
1000,0,0,3,3,75,0,0,0,1,1,0
50,0,2,0,0,100,5,5,0,1,1,1
9000,1,0,1,2,100,1,1,0,1,1,0
100,0,4,0,0,100,1,2,0,1,1,0
3500,1,0,0,0,50,0,0,0,1,1,1
300,5,3,0,0,100,5,5,0,1,1,1
100,5,4,0,0,100,5,5,0,1,0,1
200,5,4,0,0,100,0,0,0,1,0,1
300,4,3,0,0,100,10,10,0,1,1,1
300,4,3,0,0,100,10,10,0,1,1,1
300,6,3,0,0,100,5,5,0,1,1,1
1000,0,2,0,0,75,0,0,0,1,0,0
100,4,4,0,0,100,10,10,0,1,1,1
500,0,0,3,3,100,1,2,0,1,0,0
1000,0,3,0,0,100,2,5,0,1,0,0
500,5,4,0,0,100,10,10,0,1,1,0
600,0,1,3,1,100,1,0,0,1,1,1
1300,0,0,3,1,100,1,1,0,1,0,1
300,7,2,0,0,100,2,5,0,1,0,1
10050,0,2,0,1,100,5,5,0,1,0,1
9000,0,2,0,1,100,9,9,0,1,1,1
300,7,3,0,0,100,9,9,0,1,0,1
300,6,1,0,0,100,5,5,0,1,0,1
3500,0,2,0,0,100,2,2,0,1,1,1
300,7,0,0,0,100,1,1,0,1,1,0
16000,0,2,0,2,100,1,5,0,1,1,1
3500,0,3,0,0,100,2,2,0,1,1,1
300,7,1,0,0,100,5,5,0,1,1,1
10000,0,3,0,1,100,5,5,0,1,1,1
10000,0,0,0,1,75,0,0,0,1,0,1
