,country,children_per_woman_total_fertility,child_mortality_0_5_year_olds_dying_per_1000_born,co2_emissions_tonnes_per_person,corruption_perception_index_cpi,life_expectancy_years,vccin_effect_dag
120,Sri Lanka,2.06,8.75,0.9490000000000001,37.0,76.9,0.0755
49,Greece,1.31,4.58,7.04,46.0,80.8,0.16899999999999998
26,Comoros,4.45,74.9,0.217,26.0,68.0,0.0755
113,Sierra Leone,4.56,122.0,0.126,29.0,58.5,0.0755
85,Mongolia,2.5110883889435582,18.6,7.76,39.0,68.6,0.066
89,Myanmar,2.23,51.6,0.42100000000000004,22.0,67.8,0.0755
20,Cameroon,4.992815392000015,85.8,0.33299999999999996,27.0,61.2,0.0755
136,Uzbekistan,2.31,25.9,3.31,19.0,69.9,0.0755
122,Switzerland,1.54,4.32,4.67,86.0,83.5,0.0755
44,Gabon,3.85,51.0,2.69,34.0,67.0,0.0755
58,Iran,2.1875396479116427,16.0,8.17,27.0,76.5,0.084
96,Nigeria,5.59,125.0,0.627,26.0,63.4,0.113
36,Ecuador,2.51,15.1,2.63,32.0,76.6,0.021
134,United States,1.93,6.8,16.9,76.0,78.8,0.096
110,Saudi Arabia,2.58,8.54,19.6,52.0,76.2,0.024
81,Mauritania,4.655451129587119,83.5,0.609,31.0,69.9,0.0755
139,Zimbabwe,3.84,54.3,0.8809999999999999,21.0,59.6,0.0755
27,"Congo, Dem. Rep.",6.17,97.4,0.0367,22.0,61.3,0.08800000000000001
123,Tajikistan,3.4,37.9,0.574,26.0,70.2,0.0755
77,Malawi,4.083058979615799,59.2,0.0669,31.0,61.7,0.0755
12,Bolivia,2.92,30.8,1.81,34.0,72.2,0.0755
92,Netherlands,1.6354518984122048,4.03,9.83,84.0,81.5,0.067
128,Turkey,2.07,12.6,4.86,42.0,78.3,0.083
32,Cyprus,1.35,2.74,5.99,61.0,81.5,0.0755
135,Uruguay,2.01,8.85,1.94,74.0,77.0,0.0755
2,Algeria,2.469001836925205,24.9,3.8,36.0,77.1,0.078
127,Tunisia,2.22,17.2,2.62,38.0,77.9,0.043
116,Slovenia,1.6042294500887513,2.48,6.58,60.0,80.8,0.16399999999999998
79,Mali,6.15,109.0,0.17800000000000002,35.0,61.1,0.0755
105,Poland,1.31,4.86,8.22,63.0,77.5,0.10300000000000001
109,Rwanda,3.97,41.3,0.0816,54.0,67.7,0.0755
84,Moldova,1.25,16.3,1.18,33.0,71.8,0.0755
68,Kyrgyz Republic,3.05,22.3,1.73,28.0,71.9,0.0755
88,Mozambique,5.31,81.8,0.233,31.0,56.2,0.0755
118,South Korea,1.28,3.5,11.7,54.0,82.3,0.064
7,Azerbaijan,2.09,26.3,3.86,29.0,70.5,0.133
24,China,2.0092495845962213,10.7,6.91,37.0,76.5,0.126
95,Niger,7.29,94.3,0.10099999999999999,34.0,61.3,0.0755
65,Kazakhstan,2.193061616645556,11.9,15.0,28.0,71.7,0.0755
64,Jordan,3.45,17.7,2.75,53.0,79.1,0.0755
75,Luxembourg,1.56,2.64,16.5,85.0,81.4,0.0755
102,Paraguay,2.51,22.2,0.905,27.0,75.8,0.0755
61,Israel,3.0,3.92,8.15,61.0,82.6,0.0
