country;children_per_woman_total_fertility;child_mortality_0_5_year_olds_dying_per_1000_born;co2_emissions_tonnes_per_person;corruption_perception_index_cpi;life_expectancy_years;vccin_effect_dag
Croatia;1.47;4.88;4.22;51.0;77.6;
Nigeria;5.59;125.0;0.627;26.0;63.4;0.113
Cambodia;2.59;32.0;0.545;21.0;69.3;
Cameroon;;85.8;0.33299999999999996;27.0;61.2;
Chile;;7.89;4.55;70.0;79.6;
Greece;1.31;4.58;7.04;46.0;80.8;0.16899999999999998
Russia;;8.53;11.2;29.0;71.3;0.184
Canada;1.59;5.28;16.0;83.0;81.7;0.105
Guinea;4.93;107.0;0.215;25.0;59.2;
Colombia;;15.7;1.96;37.0;80.0;0.059000000000000004
Botswana;;40.7;2.56;63.0;66.9;
Iran;;16.0;8.17;27.0;76.5;0.084
Chad;6.05;130.0;0.0694;22.0;59.2;
Ukraine;1.53;9.5;4.99;27.0;69.2;0.154
Dominican Republic;2.45;31.3;2.29;33.0;72.8;
Montenegro;;3.46;3.57;44.0;76.4;
Kyrgyz Republic;3.05;22.3;1.73;28.0;71.9;
Rwanda;3.97;41.3;0.0816;54.0;67.7;
Serbia;;6.28;4.93;40.0;75.1;0.141
Namibia;3.47;44.9;1.71;53.0;65.5;
Papua New Guinea;3.71;51.7;0.91;25.0;57.9;0.099
Saudi Arabia;2.58;8.54;19.6;52.0;76.2;0.024
Panama;2.54;16.9;2.74;39.0;78.9;0.051
Congo, Rep.;;54.9;0.649;23.0;62.2;
Ecuador;2.51;15.1;2.63;32.0;76.6;0.021
Iraq;4.43;29.5;4.66;16.0;76.3;0.0
Italy;1.46;3.43;5.88;44.0;82.6;0.177
Portugal;1.25;3.66;5.04;64.0;81.5;0.044000000000000004
Philippines;2.96;30.1;1.12;35.0;69.2;0.022000000000000002
Armenia;;14.4;1.65;35.0;75.3;0.139
Algeria;;24.9;3.8;36.0;77.1;0.078
Guatemala;3.03;29.0;0.95;28.0;72.9;
Switzerland;1.54;4.32;4.67;86.0;83.5;
Bangladesh;2.13;36.1;0.467;25.0;72.5;0.051
Paraguay;2.51;22.2;0.905;27.0;75.8;
Luxembourg;1.56;2.64;16.5;85.0;81.4;
Belgium;;3.99;8.84;77.0;80.9;0.051
Turkmenistan;2.93;50.7;12.6;18.0;69.8;
Sweden;1.91;2.87;4.41;89.0;82.2;0.059000000000000004
Cyprus;1.35;2.74;5.99;61.0;81.5;
Burkina Faso;5.44;86.8;0.182;38.0;60.7;
Bolivia;2.92;30.8;1.81;34.0;72.2;
China;;10.7;6.91;37.0;76.5;0.126
Nepal;2.16;36.4;0.223;27.0;69.6;
Ethiopia;4.32;63.5;0.128;33.0;67.2;0.021
Belarus;;4.03;6.29;32.0;73.8;
Haiti;2.97;70.6;0.272;17.0;64.0;
Slovak Republic;1.43;6.06;6.35;51.0;76.7;
Denmark;;4.22;6.19;91.0;80.9;0.042
Comoros;4.45;74.9;0.217;26.0;68.0;
Lithuania;;4.9;4.48;59.0;74.7;
Libya;2.31;13.3;8.79;16.0;73.1;
Brazil;;15.7;2.42;38.0;75.5;0.045
Georgia;2.0;10.5;2.38;52.0;73.0;
North Macedonia;1.52;12.3;3.41;42.0;76.5;0.114
Uganda;5.68;54.8;0.133;25.0;64.5;
South Africa;2.49;37.7;8.35;44.0;63.4;0.099
Burundi;5.78;67.0;0.0386;21.0;60.8;
Israel;3.0;3.92;8.15;61.0;82.6;0.0
Kenya;3.92;46.3;0.341;25.0;64.7;
Lao;;53.6;1.31;25.0;66.6;
Jordan;3.45;17.7;2.75;53.0;79.1;
Norway;;2.72;8.72;88.0;82.3;
Peru;2.43;16.1;1.69;36.0;80.0;0.08
Honduras;2.51;19.5;1.08;31.0;72.1;
Sri Lanka;2.06;8.75;0.9490000000000001;37.0;76.9;
Madagascar;4.24;58.1;0.149;28.0;63.0;
Indonesia;2.39;28.0;1.96;36.0;71.0;0.07
Thailand;1.5;10.5;4.1;38.0;78.2;0.065
Tunisia;2.22;17.2;2.62;38.0;77.9;0.043
Congo, Dem. Rep.;6.17;97.4;0.0367;22.0;61.3;0.08800000000000001
Morocco;2.53;25.5;1.76;36.0;73.5;0.052000000000000005
Togo;4.52;76.8;0.369;32.0;62.8;
Mexico;2.22;14.8;3.96;31.0;75.9;0.14
Ghana;4.04;54.7;0.579;47.0;64.4;0.084
Egypt;3.31;23.6;2.37;36.0;70.2;
Eswatini;3.14;62.9;0.89;;55.8;
Czech Republic;1.52;3.15;9.89;56.0;78.8;0.073
Uzbekistan;2.31;25.9;3.31;19.0;69.9;
Slovenia;;2.48;6.58;60.0;80.8;0.16399999999999998
Mali;6.15;109.0;0.17800000000000002;35.0;61.1;
France;1.98;4.1;5.3;70.0;82.5;0.17300000000000001
Liberia;;78.9;0.27;37.0;62.0;
Mongolia;;18.6;7.76;39.0;68.6;0.066
Singapore;1.24;2.72;11.0;85.0;84.4;
Myanmar;2.23;51.6;0.42100000000000004;22.0;67.8;
Malaysia;2.06;8.0;7.71;50.0;74.6;
Mauritania;;83.5;0.609;31.0;69.9;
Pakistan;3.55;76.0;0.9259999999999999;30.0;66.0;0.126
Mozambique;5.31;81.8;0.233;31.0;56.2;
Tanzania;5.08;59.1;0.244;30.0;65.6;
Zimbabwe;3.84;54.3;0.8809999999999999;21.0;59.6;
Japan;1.44;3.02;9.58;75.0;84.1;0.099
Kuwait;1.99;8.56;24.1;49.0;82.9;
Costa Rica;;9.05;1.51;55.0;79.9;
Zambia;5.04;64.6;0.271;38.0;62.0;
El Salvador;2.1;15.3;1.07;39.0;72.1;
Sierra Leone;4.56;122.0;0.126;29.0;58.5;
Australia;;3.87;16.8;79.0;82.5;0.043
Hungary;1.36;5.14;4.78;51.0;75.5;
Moldova;1.25;16.3;1.18;33.0;71.8;
Austria;1.49;3.71;7.7;76.0;81.5;0.11800000000000001
Bosnia and Herzegovina;1.35;6.14;5.39;38.0;76.4;0.26
Bulgaria;1.55;8.18;6.69;41.0;74.8;0.071
Senegal;;50.1;0.695;44.0;67.5;
Iceland;1.95;2.18;10.7;79.0;82.7;0.022000000000000002
United Kingdom;;4.45;6.42;81.0;81.0;0.07
Vietnam;1.96;21.8;1.95;31.0;74.3;0.046
Azerbaijan;2.09;26.3;3.86;29.0;70.5;0.133
Albania;;9.6;1.6;36.0;78.0;
Uruguay;2.01;8.85;1.94;74.0;77.0;
Nicaragua;2.23;18.8;0.8440000000000001;27.0;78.1;
Gambia;5.49;64.7;0.251;28.0;65.1;
Spain;1.35;3.28;5.81;58.0;82.6;0.071
Niger;7.29;94.3;0.10099999999999999;34.0;61.3;
Netherlands;;4.03;9.83;84.0;81.5;0.067
Argentina;2.31;11.5;4.64;32.0;76.5;0.013000000000000001
Estonia;;3.18;12.1;70.0;77.7;
Finland;;2.2;8.06;90.0;81.6;0.035
Latvia;1.53;4.97;3.65;56.0;74.9;0.14300000000000002
Kazakhstan;;11.9;15.0;28.0;71.7;
New Zealand;2.01;5.97;7.77;91.0;81.5;
United States;1.93;6.8;16.9;76.0;78.8;0.096
United Arab Emirates;;7.83;20.7;70.0;73.1;
Cote d'Ivoire;4.97;90.0;0.405;32.0;61.0;
Benin;5.05;99.9;0.555;37.0;63.5;
