,Label,Text
5165,ham,Ü still got lessons?  Ü in sch?
4162,spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
3951,ham,I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.
5501,spam,PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04
2304,ham,Should I tell my friend not to come round til like  &lt;#&gt; ish?
4410,spam,"For your chance to WIN a FREE Bluetooth Headset then simply reply back with ""ADP"""
5276,ham,Dunno leh cant remember mayb lor. So wat time r we meeting tmr?
4165,ham,"Its ok, called mom instead have fun"
3166,ham,Cheers for the card ... Is it that time of year already?
997,ham,Yetunde i'm in class can you not run water on it to make it ok. Pls now.
109,ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
34,spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
3825,ham,I miss you so much I'm so desparate I have recorded the message you left for me the other day and listen to it just to hear the sound of your voice. I love you
2685,ham,Yupz... I've oredi booked slots 4 my weekends liao... 
3410,ham,"Whats that coming over the hill..... Is it a monster! Hope you have a great day. Things r going fine here, busy though! "
1754,ham,Jus came back fr lunch wif my sis only. U leh?
1966,ham,Thanks. It was only from tescos but quite nice. All gone now. Speak soon 
5334,ham,"Garbage bags, eggs, jam, bread, hannaford wheat chex"
1016,ham,"Dear,regret i cudnt pick call.drove down frm ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!"
416,ham,Whatsup there. Dont u want to sleep
854,ham,AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.
4455,ham,I'm home. Ard wat time will u reach?
831,spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
5484,ham,", ,  and  picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || Very easy"
523,ham,Were gonna go get some tacos
1298,ham,"K so am I, how much for an 8th? Fifty?"
4024,ham,Well. Balls. Time to make calls
4329,spam,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm"
455,spam,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
3548,spam,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel"
4101,ham,I not at home now lei...
4870,ham,1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face  &lt;#&gt; .joker face.
2560,ham,I also thk too fast... Xy suggest one not me. U dun wan it's ok. Going 2 rain leh where got gd.
5426,ham,Oh yeah! And my diet just flew out the window
3839,ham,Went to pay rent. So i had to go to the bank to authorise the payment.
1096,ham,Ryder unsold.now gibbs.
4640,ham,Of course. I guess god's just got me on hold right now.
1947,ham,Hey we can go jazz power yoga hip hop kb and yogasana 
2563,ham,"Yeah I am, so I'll leave maybe 7ish?"
